[0/100][0/24]	Loss_D: 1.9000	Loss_G: 16.3635	D(x): 0.6387	D(G(z)): 0.6185 / 0.0000
[1/100][0/24]	Loss_D: 0.0006	Loss_G: 45.3016	D(x): 0.9994	D(G(z)): 0.0000 / 0.0000
[2/100][0/24]	Loss_D: 0.0001	Loss_G: 45.2693	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[3/100][0/24]	Loss_D: 0.0001	Loss_G: 45.0241	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[4/100][0/24]	Loss_D: 0.0001	Loss_G: 44.8922	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[5/100][0/24]	Loss_D: 0.0000	Loss_G: 44.9482	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[6/100][0/24]	Loss_D: 0.0000	Loss_G: 44.9092	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[7/100][0/24]	Loss_D: 0.0000	Loss_G: 44.8780	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[8/100][0/24]	Loss_D: 0.0000	Loss_G: 44.9165	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[9/100][0/24]	Loss_D: 0.0000	Loss_G: 44.7999	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[10/100][0/24]	Loss_D: 0.0000	Loss_G: 44.8205	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[11/100][0/24]	Loss_D: 0.0000	Loss_G: 44.8864	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[12/100][0/24]	Loss_D: 0.0000	Loss_G: 44.8345	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[13/100][0/24]	Loss_D: 0.0000	Loss_G: 44.8039	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[14/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6772	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[15/100][0/24]	Loss_D: 0.0000	Loss_G: 44.7715	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[16/100][0/24]	Loss_D: 0.0000	Loss_G: 44.7903	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[17/100][0/24]	Loss_D: 0.0000	Loss_G: 44.7392	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[18/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6806	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[19/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6928	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[20/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6461	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[21/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6637	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[22/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6749	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[23/100][0/24]	Loss_D: 0.0000	Loss_G: 44.7228	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[24/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5678	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[25/100][0/24]	Loss_D: 0.0000	Loss_G: 44.6255	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[26/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5371	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[27/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5982	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[28/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5482	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[29/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5523	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[30/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5574	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[31/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4940	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[32/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5295	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[33/100][0/24]	Loss_D: 0.0000	Loss_G: 44.5303	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[34/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4436	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[35/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4666	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[36/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4120	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[37/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4094	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[38/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4673	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[39/100][0/24]	Loss_D: 0.0000	Loss_G: 44.4763	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[40/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3621	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[41/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3902	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[42/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3331	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[43/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3784	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[44/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3619	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[45/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3385	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[46/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3002	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[47/100][0/24]	Loss_D: 0.0000	Loss_G: 44.2603	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[48/100][0/24]	Loss_D: 0.0000	Loss_G: 44.2504	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[49/100][0/24]	Loss_D: 0.0000	Loss_G: 44.1792	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[50/100][0/24]	Loss_D: 0.0000	Loss_G: 44.3396	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[51/100][0/24]	Loss_D: 0.0000	Loss_G: 44.2213	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[52/100][0/24]	Loss_D: 0.0000	Loss_G: 44.2081	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[53/100][0/24]	Loss_D: 0.0000	Loss_G: 44.2180	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[54/100][0/24]	Loss_D: 0.0000	Loss_G: 44.1857	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[55/100][0/24]	Loss_D: 0.0000	Loss_G: 44.1582	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[56/100][0/24]	Loss_D: 0.0000	Loss_G: 44.1309	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[57/100][0/24]	Loss_D: 0.0000	Loss_G: 44.1163	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[58/100][0/24]	Loss_D: 0.0000	Loss_G: 44.0744	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[59/100][0/24]	Loss_D: 0.0000	Loss_G: 44.0258	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[60/100][0/24]	Loss_D: 0.0000	Loss_G: 44.0265	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[61/100][0/24]	Loss_D: 0.0000	Loss_G: 44.0750	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[62/100][0/24]	Loss_D: 0.0000	Loss_G: 44.0446	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[63/100][0/24]	Loss_D: 0.0000	Loss_G: 44.0228	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[64/100][0/24]	Loss_D: 0.0000	Loss_G: 43.9660	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[65/100][0/24]	Loss_D: 0.0000	Loss_G: 43.9044	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[66/100][0/24]	Loss_D: 0.0000	Loss_G: 43.9184	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[67/100][0/24]	Loss_D: 0.0000	Loss_G: 43.8898	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[68/100][0/24]	Loss_D: 0.0000	Loss_G: 43.8756	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[69/100][0/24]	Loss_D: 0.0000	Loss_G: 43.7708	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[70/100][0/24]	Loss_D: 0.0000	Loss_G: 43.8387	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[71/100][0/24]	Loss_D: 0.0000	Loss_G: 43.6447	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[72/100][0/24]	Loss_D: 0.0000	Loss_G: 43.6985	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[73/100][0/24]	Loss_D: 0.0000	Loss_G: 43.7041	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[74/100][0/24]	Loss_D: 0.0000	Loss_G: 43.6601	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[75/100][0/24]	Loss_D: 0.0000	Loss_G: 43.5636	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[76/100][0/24]	Loss_D: 0.0000	Loss_G: 43.4513	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[77/100][0/24]	Loss_D: 0.0000	Loss_G: 43.5080	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[78/100][0/24]	Loss_D: 0.0000	Loss_G: 43.4055	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[79/100][0/24]	Loss_D: 0.0000	Loss_G: 43.4764	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[80/100][0/24]	Loss_D: 0.0000	Loss_G: 43.3263	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[81/100][0/24]	Loss_D: 0.0000	Loss_G: 43.3258	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[82/100][0/24]	Loss_D: 0.0000	Loss_G: 43.1962	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[83/100][0/24]	Loss_D: 0.0000	Loss_G: 43.1851	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[84/100][0/24]	Loss_D: 0.0000	Loss_G: 43.1482	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[85/100][0/24]	Loss_D: 0.0000	Loss_G: 43.0888	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[86/100][0/24]	Loss_D: 0.0000	Loss_G: 42.9684	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[87/100][0/24]	Loss_D: 0.0000	Loss_G: 42.8996	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[88/100][0/24]	Loss_D: 0.0000	Loss_G: 42.7361	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[89/100][0/24]	Loss_D: 0.0000	Loss_G: 42.6443	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[90/100][0/24]	Loss_D: 0.0000	Loss_G: 42.5310	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[91/100][0/24]	Loss_D: 0.0000	Loss_G: 42.3418	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[92/100][0/24]	Loss_D: 0.0000	Loss_G: 42.0523	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[93/100][0/24]	Loss_D: 0.0000	Loss_G: 41.8895	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[94/100][0/24]	Loss_D: 0.0000	Loss_G: 41.5813	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[95/100][0/24]	Loss_D: 0.0000	Loss_G: 41.1880	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[96/100][0/24]	Loss_D: 0.0000	Loss_G: 40.3666	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[97/100][0/24]	Loss_D: 54.8828	Loss_G: 98.9441	D(x): 0.0000	D(G(z)): 0.0000 / 0.0000
[98/100][0/24]	Loss_D: 70.2679	Loss_G: 99.4932	D(x): 0.0000	D(G(z)): 0.0000 / 0.0000
[99/100][0/24]	Loss_D: 70.2022	Loss_G: 99.5123	D(x): 0.0000	D(G(z)): 0.0000 / 0.0000
