[0/100][0/24]	Loss_D: 1.7188	Loss_G: 1.6253	D(x): 0.3902	D(G(z)): 0.4771 / 0.2308
[1/100][0/24]	Loss_D: 0.1104	Loss_G: 5.6945	D(x): 0.9501	D(G(z)): 0.0448 / 0.0041
[2/100][0/24]	Loss_D: 0.0487	Loss_G: 6.8471	D(x): 0.9784	D(G(z)): 0.0249 / 0.0012
[3/100][0/24]	Loss_D: 0.0246	Loss_G: 6.8008	D(x): 0.9885	D(G(z)): 0.0129 / 0.0012
[4/100][0/24]	Loss_D: 0.0200	Loss_G: 6.8079	D(x): 0.9952	D(G(z)): 0.0150 / 0.0013
[5/100][0/24]	Loss_D: 0.0105	Loss_G: 6.8180	D(x): 0.9962	D(G(z)): 0.0065 / 0.0012
[6/100][0/24]	Loss_D: 0.0069	Loss_G: 6.9757	D(x): 0.9973	D(G(z)): 0.0042 / 0.0010
[7/100][0/24]	Loss_D: 0.0061	Loss_G: 6.9120	D(x): 0.9990	D(G(z)): 0.0051 / 0.0011
[8/100][0/24]	Loss_D: 0.0046	Loss_G: 7.0171	D(x): 0.9986	D(G(z)): 0.0032 / 0.0009
[9/100][0/24]	Loss_D: 0.0052	Loss_G: 6.8639	D(x): 0.9991	D(G(z)): 0.0043 / 0.0011
[10/100][0/24]	Loss_D: 0.0043	Loss_G: 6.9214	D(x): 0.9990	D(G(z)): 0.0033 / 0.0010
[11/100][0/24]	Loss_D: 0.0025	Loss_G: 7.1078	D(x): 0.9994	D(G(z)): 0.0019 / 0.0009
[12/100][0/24]	Loss_D: 0.0029	Loss_G: 6.9427	D(x): 0.9992	D(G(z)): 0.0021 / 0.0010
[13/100][0/24]	Loss_D: 0.0016	Loss_G: 7.5838	D(x): 0.9995	D(G(z)): 0.0011 / 0.0005
[14/100][0/24]	Loss_D: 0.0014	Loss_G: 7.7179	D(x): 0.9996	D(G(z)): 0.0010 / 0.0005
[15/100][0/24]	Loss_D: 0.0020	Loss_G: 7.3505	D(x): 0.9996	D(G(z)): 0.0016 / 0.0007
[16/100][0/24]	Loss_D: 0.0019	Loss_G: 7.3428	D(x): 0.9996	D(G(z)): 0.0015 / 0.0007
[17/100][0/24]	Loss_D: 0.0044	Loss_G: 8.1125	D(x): 0.9997	D(G(z)): 0.0041 / 0.0003
[18/100][0/24]	Loss_D: 0.0849	Loss_G: 4.0563	D(x): 0.9865	D(G(z)): 0.0679 / 0.0175
[19/100][0/24]	Loss_D: 0.0571	Loss_G: 6.4581	D(x): 0.9794	D(G(z)): 0.0349 / 0.0016
[20/100][0/24]	Loss_D: 0.5614	Loss_G: 6.2807	D(x): 0.6314	D(G(z)): 0.0008 / 0.0029
[21/100][0/24]	Loss_D: 0.1142	Loss_G: 3.9137	D(x): 0.9360	D(G(z)): 0.0437 / 0.0210
[22/100][0/24]	Loss_D: 0.1479	Loss_G: 4.1887	D(x): 0.9238	D(G(z)): 0.0557 / 0.0198
[23/100][0/24]	Loss_D: 0.1539	Loss_G: 2.6184	D(x): 0.9299	D(G(z)): 0.0716 / 0.0880
[24/100][0/24]	Loss_D: 0.1386	Loss_G: 5.2281	D(x): 0.9627	D(G(z)): 0.0938 / 0.0059
[25/100][0/24]	Loss_D: 0.0850	Loss_G: 4.3592	D(x): 0.9548	D(G(z)): 0.0336 / 0.0148
[26/100][0/24]	Loss_D: 0.3179	Loss_G: 5.9126	D(x): 0.9493	D(G(z)): 0.2173 / 0.0035
[27/100][0/24]	Loss_D: 0.1155	Loss_G: 4.7527	D(x): 0.9301	D(G(z)): 0.0356 / 0.0098
[28/100][0/24]	Loss_D: 0.2605	Loss_G: 3.9148	D(x): 0.8460	D(G(z)): 0.0519 / 0.0251
[29/100][0/24]	Loss_D: 0.1407	Loss_G: 3.9808	D(x): 0.9332	D(G(z)): 0.0608 / 0.0243
[30/100][0/24]	Loss_D: 0.0869	Loss_G: 5.3510	D(x): 0.9935	D(G(z)): 0.0757 / 0.0058
