[0/100][0/24]	Loss_D: 1.7188	Loss_G: 1.6253	D(x): 0.3902	D(G(z)): 0.4771 / 0.2308
[1/100][0/24]	Loss_D: 0.1110	Loss_G: 5.7001	D(x): 0.9496	D(G(z)): 0.0445 / 0.0041
[2/100][0/24]	Loss_D: 0.0500	Loss_G: 6.9175	D(x): 0.9806	D(G(z)): 0.0287 / 0.0011
[3/100][0/24]	Loss_D: 0.0242	Loss_G: 6.8887	D(x): 0.9883	D(G(z)): 0.0123 / 0.0011
[4/100][0/24]	Loss_D: 0.0199	Loss_G: 6.9869	D(x): 0.9967	D(G(z)): 0.0165 / 0.0010
[5/100][0/24]	Loss_D: 0.0113	Loss_G: 7.0886	D(x): 0.9960	D(G(z)): 0.0070 / 0.0010
[6/100][0/24]	Loss_D: 0.0082	Loss_G: 6.8214	D(x): 0.9973	D(G(z)): 0.0054 / 0.0012
[7/100][0/24]	Loss_D: 0.0065	Loss_G: 7.2240	D(x): 0.9989	D(G(z)): 0.0054 / 0.0008
[8/100][0/24]	Loss_D: 0.0056	Loss_G: 7.3831	D(x): 0.9987	D(G(z)): 0.0043 / 0.0007
[9/100][0/24]	Loss_D: 0.0056	Loss_G: 6.8664	D(x): 0.9991	D(G(z)): 0.0047 / 0.0011
[10/100][0/24]	Loss_D: 0.0035	Loss_G: 6.9098	D(x): 0.9992	D(G(z)): 0.0027 / 0.0010
[11/100][0/24]	Loss_D: 0.0041	Loss_G: 6.9741	D(x): 0.9992	D(G(z)): 0.0033 / 0.0010
[12/100][0/24]	Loss_D: 0.0048	Loss_G: 6.9400	D(x): 0.9987	D(G(z)): 0.0035 / 0.0010
[13/100][0/24]	Loss_D: 0.0019	Loss_G: 7.3339	D(x): 0.9995	D(G(z)): 0.0014 / 0.0007
[14/100][0/24]	Loss_D: 0.0023	Loss_G: 7.2781	D(x): 0.9996	D(G(z)): 0.0018 / 0.0007
[15/100][0/24]	Loss_D: 0.0021	Loss_G: 7.2693	D(x): 0.9996	D(G(z)): 0.0017 / 0.0007
[16/100][0/24]	Loss_D: 0.0010	Loss_G: 7.7938	D(x): 0.9997	D(G(z)): 0.0007 / 0.0004
[17/100][0/24]	Loss_D: 0.0009	Loss_G: 7.6387	D(x): 0.9998	D(G(z)): 0.0007 / 0.0005
[18/100][0/24]	Loss_D: 0.0013	Loss_G: 7.7586	D(x): 0.9996	D(G(z)): 0.0008 / 0.0004
[19/100][0/24]	Loss_D: 0.0039	Loss_G: 7.4074	D(x): 0.9975	D(G(z)): 0.0009 / 0.0006
[20/100][0/24]	Loss_D: 0.0007	Loss_G: 8.0505	D(x): 0.9999	D(G(z)): 0.0005 / 0.0003
[21/100][0/24]	Loss_D: 0.0005	Loss_G: 8.1790	D(x): 0.9999	D(G(z)): 0.0004 / 0.0003
[22/100][0/24]	Loss_D: 0.0004	Loss_G: 8.4635	D(x): 0.9998	D(G(z)): 0.0003 / 0.0002
[23/100][0/24]	Loss_D: 0.0005	Loss_G: 8.2320	D(x): 0.9999	D(G(z)): 0.0004 / 0.0003
[24/100][0/24]	Loss_D: 0.0005	Loss_G: 8.3296	D(x): 0.9999	D(G(z)): 0.0004 / 0.0003
[25/100][0/24]	Loss_D: 0.0006	Loss_G: 8.1673	D(x): 0.9999	D(G(z)): 0.0005 / 0.0003
[26/100][0/24]	Loss_D: 0.0006	Loss_G: 8.0321	D(x): 0.9999	D(G(z)): 0.0005 / 0.0003
[27/100][0/24]	Loss_D: 0.0004	Loss_G: 8.6932	D(x): 0.9998	D(G(z)): 0.0002 / 0.0002
[28/100][0/24]	Loss_D: 0.0005	Loss_G: 8.2464	D(x): 0.9999	D(G(z)): 0.0004 / 0.0003
[29/100][0/24]	Loss_D: 0.0003	Loss_G: 8.5541	D(x): 0.9999	D(G(z)): 0.0003 / 0.0002
[30/100][0/24]	Loss_D: 0.0003	Loss_G: 8.4545	D(x): 0.9999	D(G(z)): 0.0003 / 0.0002
[31/100][0/24]	Loss_D: 0.0006	Loss_G: 7.9663	D(x): 0.9999	D(G(z)): 0.0005 / 0.0004
[32/100][0/24]	Loss_D: 0.0003	Loss_G: 8.4416	D(x): 1.0000	D(G(z)): 0.0003 / 0.0002
[33/100][0/24]	Loss_D: 0.0002	Loss_G: 8.8501	D(x): 0.9999	D(G(z)): 0.0002 / 0.0001
[34/100][0/24]	Loss_D: 4.0687	Loss_G: 1.1253	D(x): 0.4625	D(G(z)): 0.0007 / 0.3320
[35/100][0/24]	Loss_D: 0.0000	Loss_G: 34.5500	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[36/100][0/24]	Loss_D: 0.0000	Loss_G: 34.4322	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[37/100][0/24]	Loss_D: 0.0000	Loss_G: 34.2933	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[38/100][0/24]	Loss_D: 0.0000	Loss_G: 34.1217	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[39/100][0/24]	Loss_D: 0.0000	Loss_G: 33.8794	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[40/100][0/24]	Loss_D: 0.0000	Loss_G: 33.4980	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[41/100][0/24]	Loss_D: 0.0000	Loss_G: 32.6734	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[42/100][0/24]	Loss_D: 0.0110	Loss_G: 17.3595	D(x): 0.9923	D(G(z)): 0.0000 / 0.0000
[43/100][0/24]	Loss_D: 0.0223	Loss_G: 8.0775	D(x): 0.9873	D(G(z)): 0.0091 / 0.0003
[44/100][0/24]	Loss_D: 0.0752	Loss_G: 10.2097	D(x): 0.9325	D(G(z)): 0.0006 / 0.0000
[45/100][0/24]	Loss_D: 0.0679	Loss_G: 7.1717	D(x): 0.9767	D(G(z)): 0.0430 / 0.0008
[46/100][0/24]	Loss_D: 0.0705	Loss_G: 6.7563	D(x): 0.9625	D(G(z)): 0.0298 / 0.0012
[47/100][0/24]	Loss_D: 0.0347	Loss_G: 7.5943	D(x): 0.9886	D(G(z)): 0.0225 / 0.0005
[48/100][0/24]	Loss_D: 0.0312	Loss_G: 6.8771	D(x): 0.9918	D(G(z)): 0.0225 / 0.0012
[49/100][0/24]	Loss_D: 0.0196	Loss_G: 6.5673	D(x): 0.9910	D(G(z)): 0.0073 / 0.0016
[50/100][0/24]	Loss_D: 0.0207	Loss_G: 7.1883	D(x): 0.9935	D(G(z)): 0.0130 / 0.0009
[51/100][0/24]	Loss_D: 0.0065	Loss_G: 7.6757	D(x): 0.9950	D(G(z)): 0.0015 / 0.0005
[52/100][0/24]	Loss_D: 0.0088	Loss_G: 6.3069	D(x): 0.9967	D(G(z)): 0.0054 / 0.0020
[53/100][0/24]	Loss_D: 0.0075	Loss_G: 6.2052	D(x): 0.9972	D(G(z)): 0.0047 / 0.0021
[54/100][0/24]	Loss_D: 0.0070	Loss_G: 6.2386	D(x): 0.9970	D(G(z)): 0.0040 / 0.0021
[55/100][0/24]	Loss_D: 0.0049	Loss_G: 6.4044	D(x): 0.9981	D(G(z)): 0.0030 / 0.0017
[56/100][0/24]	Loss_D: 0.0042	Loss_G: 6.5772	D(x): 0.9982	D(G(z)): 0.0023 / 0.0015
[57/100][0/24]	Loss_D: 0.0053	Loss_G: 6.7868	D(x): 0.9981	D(G(z)): 0.0034 / 0.0012
[58/100][0/24]	Loss_D: 0.0029	Loss_G: 7.0955	D(x): 0.9989	D(G(z)): 0.0017 / 0.0009
[59/100][0/24]	Loss_D: 0.0031	Loss_G: 7.0797	D(x): 0.9989	D(G(z)): 0.0019 / 0.0009
[60/100][0/24]	Loss_D: 0.0030	Loss_G: 6.7555	D(x): 0.9991	D(G(z)): 0.0020 / 0.0013
[61/100][0/24]	Loss_D: 0.0011	Loss_G: 7.7333	D(x): 0.9994	D(G(z)): 0.0005 / 0.0005
[62/100][0/24]	Loss_D: 0.0018	Loss_G: 7.1650	D(x): 0.9992	D(G(z)): 0.0010 / 0.0008
[63/100][0/24]	Loss_D: 0.0012	Loss_G: 7.4990	D(x): 0.9995	D(G(z)): 0.0008 / 0.0006
[64/100][0/24]	Loss_D: 0.0012	Loss_G: 7.6558	D(x): 0.9995	D(G(z)): 0.0007 / 0.0005
[65/100][0/24]	Loss_D: 0.0020	Loss_G: 6.9979	D(x): 0.9995	D(G(z)): 0.0015 / 0.0010
[66/100][0/24]	Loss_D: 0.0017	Loss_G: 7.1019	D(x): 0.9996	D(G(z)): 0.0014 / 0.0009
[67/100][0/24]	Loss_D: 0.0019	Loss_G: 7.1258	D(x): 0.9995	D(G(z)): 0.0014 / 0.0009
[68/100][0/24]	Loss_D: 0.0014	Loss_G: 7.3599	D(x): 0.9996	D(G(z)): 0.0009 / 0.0007
[69/100][0/24]	Loss_D: 0.0012	Loss_G: 7.5137	D(x): 0.9995	D(G(z)): 0.0007 / 0.0006
[70/100][0/24]	Loss_D: 0.0015	Loss_G: 7.2513	D(x): 0.9995	D(G(z)): 0.0010 / 0.0008
[71/100][0/24]	Loss_D: 0.0014	Loss_G: 7.5891	D(x): 0.9993	D(G(z)): 0.0007 / 0.0005
[72/100][0/24]	Loss_D: 0.0009	Loss_G: 7.6202	D(x): 0.9997	D(G(z)): 0.0006 / 0.0005
[73/100][0/24]	Loss_D: 0.0007	Loss_G: 8.2285	D(x): 0.9996	D(G(z)): 0.0003 / 0.0003
[74/100][0/24]	Loss_D: 0.0009	Loss_G: 7.7667	D(x): 0.9996	D(G(z)): 0.0005 / 0.0005
[75/100][0/24]	Loss_D: 0.0008	Loss_G: 8.1728	D(x): 0.9995	D(G(z)): 0.0003 / 0.0003
[76/100][0/24]	Loss_D: 0.0006	Loss_G: 8.1528	D(x): 0.9997	D(G(z)): 0.0003 / 0.0003
[77/100][0/24]	Loss_D: 0.0007	Loss_G: 7.8826	D(x): 0.9997	D(G(z)): 0.0004 / 0.0004
[78/100][0/24]	Loss_D: 0.0008	Loss_G: 7.8434	D(x): 0.9997	D(G(z)): 0.0005 / 0.0004
[79/100][0/24]	Loss_D: 0.0008	Loss_G: 8.3958	D(x): 0.9995	D(G(z)): 0.0003 / 0.0002
[80/100][0/24]	Loss_D: 0.0013	Loss_G: 7.8928	D(x): 0.9992	D(G(z)): 0.0005 / 0.0004
[81/100][0/24]	Loss_D: 0.0026	Loss_G: 7.4077	D(x): 0.9990	D(G(z)): 0.0016 / 0.0006
[82/100][0/24]	Loss_D: 0.0036	Loss_G: 7.9482	D(x): 0.9986	D(G(z)): 0.0021 / 0.0004
[83/100][0/24]	Loss_D: 0.2990	Loss_G: 3.7530	D(x): 0.8711	D(G(z)): 0.1178 / 0.0236
[84/100][0/24]	Loss_D: 0.0433	Loss_G: 4.4689	D(x): 0.9781	D(G(z)): 0.0201 / 0.0115
[85/100][0/24]	Loss_D: 0.0492	Loss_G: 4.9477	D(x): 0.9727	D(G(z)): 0.0202 / 0.0078
[86/100][0/24]	Loss_D: 0.0441	Loss_G: 4.9216	D(x): 0.9791	D(G(z)): 0.0218 / 0.0073
[87/100][0/24]	Loss_D: 0.0372	Loss_G: 5.3904	D(x): 0.9816	D(G(z)): 0.0181 / 0.0060
[88/100][0/24]	Loss_D: 1.2297	Loss_G: 25.0720	D(x): 0.9944	D(G(z)): 0.6329 / 0.0000
[89/100][0/24]	Loss_D: 0.0594	Loss_G: 3.8857	D(x): 0.9808	D(G(z)): 0.0390 / 0.0210
