[0/100][0/24]	Loss_D: 1.8690	Loss_G: 51.8198	D(x): 0.5717	D(G(z)): 0.6344 / 0.0000
[1/100][0/24]	Loss_D: 13.0747	Loss_G: 9.9841	D(x): 0.2642	D(G(z)): 0.0000 / 0.7169
[2/100][0/24]	Loss_D: 0.1192	Loss_G: 72.5739	D(x): 0.9877	D(G(z)): 0.0000 / 0.0000
[3/100][0/24]	Loss_D: 0.0008	Loss_G: 81.1658	D(x): 0.9992	D(G(z)): 0.0000 / 0.0000
[4/100][0/24]	Loss_D: 0.0001	Loss_G: 79.9828	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[5/100][0/24]	Loss_D: 0.0002	Loss_G: 78.7437	D(x): 0.9998	D(G(z)): 0.0000 / 0.0000
[6/100][0/24]	Loss_D: 0.0001	Loss_G: 79.4274	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[7/100][0/24]	Loss_D: 0.0000	Loss_G: 78.2676	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[8/100][0/24]	Loss_D: 0.0000	Loss_G: 78.5319	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[9/100][0/24]	Loss_D: 0.0001	Loss_G: 82.6292	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[10/100][0/24]	Loss_D: 0.0000	Loss_G: 82.1952	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[11/100][0/24]	Loss_D: 0.0000	Loss_G: 81.8674	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[12/100][0/24]	Loss_D: 0.0000	Loss_G: 81.9827	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[13/100][0/24]	Loss_D: 0.0000	Loss_G: 81.4078	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[14/100][0/24]	Loss_D: 0.0000	Loss_G: 82.3026	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[15/100][0/24]	Loss_D: 0.0000	Loss_G: 82.0531	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[16/100][0/24]	Loss_D: 0.0000	Loss_G: 82.4560	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[17/100][0/24]	Loss_D: 0.0000	Loss_G: 81.9576	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[18/100][0/24]	Loss_D: 0.0000	Loss_G: 81.6641	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[19/100][0/24]	Loss_D: 0.0000	Loss_G: 81.9659	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[20/100][0/24]	Loss_D: 0.0000	Loss_G: 80.8271	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[21/100][0/24]	Loss_D: 0.0000	Loss_G: 82.0263	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[22/100][0/24]	Loss_D: 0.0000	Loss_G: 81.1912	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[23/100][0/24]	Loss_D: 0.0000	Loss_G: 81.5375	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[24/100][0/24]	Loss_D: 0.0000	Loss_G: 81.7550	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[25/100][0/24]	Loss_D: 0.0000	Loss_G: 81.8035	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[26/100][0/24]	Loss_D: 0.0000	Loss_G: 80.5674	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[27/100][0/24]	Loss_D: 0.0000	Loss_G: 81.6376	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[28/100][0/24]	Loss_D: 0.0000	Loss_G: 81.7005	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[29/100][0/24]	Loss_D: 0.0000	Loss_G: 80.3693	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[30/100][0/24]	Loss_D: 0.0000	Loss_G: 81.1600	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[31/100][0/24]	Loss_D: 0.0000	Loss_G: 81.3719	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[32/100][0/24]	Loss_D: 0.0000	Loss_G: 81.0988	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[33/100][0/24]	Loss_D: 0.0000	Loss_G: 80.9815	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[34/100][0/24]	Loss_D: 0.0000	Loss_G: 81.1593	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[35/100][0/24]	Loss_D: 0.0000	Loss_G: 80.7699	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[36/100][0/24]	Loss_D: 0.0000	Loss_G: 81.1125	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[37/100][0/24]	Loss_D: 0.0000	Loss_G: 81.0379	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[38/100][0/24]	Loss_D: 0.0000	Loss_G: 80.7198	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[39/100][0/24]	Loss_D: 0.0000	Loss_G: 80.6109	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[40/100][0/24]	Loss_D: 0.0000	Loss_G: 80.5548	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[41/100][0/24]	Loss_D: 0.0000	Loss_G: 80.9635	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[42/100][0/24]	Loss_D: 0.0000	Loss_G: 81.2419	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[43/100][0/24]	Loss_D: 0.0000	Loss_G: 80.7742	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[44/100][0/24]	Loss_D: 0.0000	Loss_G: 81.4844	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[45/100][0/24]	Loss_D: 0.0000	Loss_G: 80.4132	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[46/100][0/24]	Loss_D: 0.0000	Loss_G: 80.7100	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[47/100][0/24]	Loss_D: 0.0000	Loss_G: 80.6532	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[48/100][0/24]	Loss_D: 0.0000	Loss_G: 81.0594	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[49/100][0/24]	Loss_D: 0.0000	Loss_G: 80.6527	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[50/100][0/24]	Loss_D: 0.0000	Loss_G: 81.0488	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[51/100][0/24]	Loss_D: 0.0000	Loss_G: 80.9914	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
