[25/100][0/93]	Loss_D: 0.0119	Loss_G: 6.8933	D(x): 0.9988	D(G(z)): 0.0096 / 0.0020
[25/100][50/93]	Loss_D: 0.0051	Loss_G: 7.5083	D(x): 0.9973	D(G(z)): 0.0023 / 0.0012
[26/100][0/93]	Loss_D: 0.0027	Loss_G: 7.7498	D(x): 0.9988	D(G(z)): 0.0014 / 0.0010
[26/100][50/93]	Loss_D: 0.0157	Loss_G: 6.2526	D(x): 0.9995	D(G(z)): 0.0150 / 0.0032
[27/100][0/93]	Loss_D: 0.0005	Loss_G: 9.3472	D(x): 0.9997	D(G(z)): 0.0002 / 0.0001
[27/100][50/93]	Loss_D: 0.0065	Loss_G: 7.2739	D(x): 0.9952	D(G(z)): 0.0012 / 0.0010
[28/100][0/93]	Loss_D: 0.0004	Loss_G: 10.3612	D(x): 0.9997	D(G(z)): 0.0001 / 0.0001
[28/100][50/93]	Loss_D: 0.0012	Loss_G: 8.4154	D(x): 0.9993	D(G(z)): 0.0005 / 0.0004
[29/100][0/93]	Loss_D: 0.0006	Loss_G: 10.0427	D(x): 0.9995	D(G(z)): 0.0001 / 0.0001
[29/100][50/93]	Loss_D: 0.0016	Loss_G: 7.9943	D(x): 0.9994	D(G(z)): 0.0010 / 0.0006
[30/100][0/93]	Loss_D: 0.0008	Loss_G: 9.6459	D(x): 0.9993	D(G(z)): 0.0001 / 0.0001
[30/100][50/93]	Loss_D: 0.0047	Loss_G: 7.9334	D(x): 0.9982	D(G(z)): 0.0029 / 0.0009
[31/100][0/93]	Loss_D: 0.0006	Loss_G: 8.8374	D(x): 0.9997	D(G(z)): 0.0003 / 0.0004
[31/100][50/93]	Loss_D: 0.0022	Loss_G: 7.9905	D(x): 0.9994	D(G(z)): 0.0015 / 0.0006
[32/100][0/93]	Loss_D: 0.0003	Loss_G: 10.2045	D(x): 0.9998	D(G(z)): 0.0001 / 0.0001
[32/100][50/93]	Loss_D: 0.0013	Loss_G: 8.5697	D(x): 0.9991	D(G(z)): 0.0003 / 0.0004
[33/100][0/93]	Loss_D: 0.5819	Loss_G: 50.6962	D(x): 0.9991	D(G(z)): 0.3703 / 0.0000
[33/100][50/93]	Loss_D: 1.1990	Loss_G: 2.1861	D(x): 0.4846	D(G(z)): 0.0479 / 0.3364
[34/100][0/93]	Loss_D: 0.3229	Loss_G: 5.0502	D(x): 0.8415	D(G(z)): 0.0577 / 0.0233
[34/100][50/93]	Loss_D: 0.0633	Loss_G: 6.1716	D(x): 0.9731	D(G(z)): 0.0260 / 0.0035
[35/100][0/93]	Loss_D: 0.6264	Loss_G: 4.3574	D(x): 0.7779	D(G(z)): 0.1402 / 0.0272
[35/100][50/93]	Loss_D: 0.1859	Loss_G: 3.3473	D(x): 0.8797	D(G(z)): 0.0353 / 0.0707
[36/100][0/93]	Loss_D: 0.0770	Loss_G: 6.1722	D(x): 0.9891	D(G(z)): 0.0614 / 0.0049
[36/100][50/93]	Loss_D: 0.9253	Loss_G: 6.4665	D(x): 0.9573	D(G(z)): 0.5107 / 0.0048
[37/100][0/93]	Loss_D: 0.1642	Loss_G: 3.9467	D(x): 0.8985	D(G(z)): 0.0401 / 0.0305
[37/100][50/93]	Loss_D: 2.2984	Loss_G: 0.4843	D(x): 0.1885	D(G(z)): 0.0001 / 0.7566
[38/100][0/93]	Loss_D: 0.7792	Loss_G: 0.5411	D(x): 0.5886	D(G(z)): 0.0000 / 0.7405
[38/100][50/93]	Loss_D: 0.0509	Loss_G: 4.9369	D(x): 0.9760	D(G(z)): 0.0243 / 0.0139
[39/100][0/93]	Loss_D: 0.0181	Loss_G: 7.8996	D(x): 0.9975	D(G(z)): 0.0140 / 0.0014
[39/100][50/93]	Loss_D: 0.0161	Loss_G: 7.2573	D(x): 0.9975	D(G(z)): 0.0133 / 0.0012
[40/100][0/93]	Loss_D: 0.0522	Loss_G: 10.2763	D(x): 0.9992	D(G(z)): 0.0491 / 0.0001
[40/100][50/93]	Loss_D: 0.0103	Loss_G: 6.5665	D(x): 0.9970	D(G(z)): 0.0072 / 0.0026
[41/100][0/93]	Loss_D: 0.3069	Loss_G: 4.4382	D(x): 0.8415	D(G(z)): 0.0829 / 0.0175
[41/100][50/93]	Loss_D: 0.0728	Loss_G: 4.7231	D(x): 0.9621	D(G(z)): 0.0256 / 0.0131
[42/100][0/93]	Loss_D: 0.0967	Loss_G: 6.8251	D(x): 0.9914	D(G(z)): 0.0760 / 0.0053
[42/100][50/93]	Loss_D: 0.0148	Loss_G: 5.9680	D(x): 0.9929	D(G(z)): 0.0075 / 0.0058
[43/100][0/93]	Loss_D: 0.0483	Loss_G: 5.1184	D(x): 0.9772	D(G(z)): 0.0202 / 0.0081
[43/100][50/93]	Loss_D: 0.0322	Loss_G: 5.5937	D(x): 0.9792	D(G(z)): 0.0106 / 0.0069
[44/100][0/93]	Loss_D: 1.0259	Loss_G: 2.9437	D(x): 0.5986	D(G(z)): 0.0828 / 0.0934
[44/100][50/93]	Loss_D: 0.4237	Loss_G: 6.4693	D(x): 0.9428	D(G(z)): 0.2208 / 0.0109
[45/100][0/93]	Loss_D: 0.1525	Loss_G: 3.8135	D(x): 0.9114	D(G(z)): 0.0341 / 0.0380
[45/100][50/93]	Loss_D: 0.0586	Loss_G: 6.1978	D(x): 0.9884	D(G(z)): 0.0450 / 0.0024
[46/100][0/93]	Loss_D: 0.0091	Loss_G: 5.6572	D(x): 0.9983	D(G(z)): 0.0073 / 0.0060
[46/100][50/93]	Loss_D: 0.0087	Loss_G: 5.0231	D(x): 0.9996	D(G(z)): 0.0083 / 0.0077
[47/100][0/93]	Loss_D: 0.0017	Loss_G: 8.0651	D(x): 0.9997	D(G(z)): 0.0014 / 0.0013
[47/100][50/93]	Loss_D: 0.0061	Loss_G: 5.5740	D(x): 0.9998	D(G(z)): 0.0059 / 0.0044
[48/100][0/93]	Loss_D: 0.0178	Loss_G: 7.1623	D(x): 1.0000	D(G(z)): 0.0092 / 0.0026
[48/100][50/93]	Loss_D: 8.2846	Loss_G: 18.9525	D(x): 1.0000	D(G(z)): 0.9453 / 0.0000
[49/100][0/93]	Loss_D: 0.0803	Loss_G: 8.3170	D(x): 1.0000	D(G(z)): 0.0346 / 0.0042
[49/100][50/93]	Loss_D: 0.0738	Loss_G: 5.5450	D(x): 0.9626	D(G(z)): 0.0327 / 0.0072
[50/100][0/93]	Loss_D: 0.0539	Loss_G: 4.8352	D(x): 0.9599	D(G(z)): 0.0101 / 0.0125
